followers_count,following_count,tweet_count,listed_count,date_collected
119718951,133,20930,104096,2022-12-02T13:15:03
119721838,133,20930,104101,2022-12-02T13:30:02
119724750,133,20930,104103,2022-12-02T13:45:02
119727788,133,20930,104105,2022-12-02T14:00:02
119730715,133,20930,104108,2022-12-02T14:15:02
119733794,133,20930,104100,2022-12-02T14:30:02
119736814,133,20930,104105,2022-12-02T14:45:03
119739801,133,20930,104108,2022-12-02T15:00:03
119740343,133,20930,104111,2022-12-02T15:15:03
119743270,133,20930,104116,2022-12-02T15:30:03
119746234,133,20930,104119,2022-12-02T15:45:02
119749302,133,20930,104121,2022-12-02T16:00:03
119752349,133,20930,104125,2022-12-02T16:15:02
119755180,133,20931,104112,2022-12-02T16:30:02
119757881,133,20933,104114,2022-12-02T16:45:03
119751473,133,20933,104114,2022-12-02T17:00:03
119754089,133,20933,104116,2022-12-02T17:15:03
119756923,133,20933,104118,2022-12-02T17:30:03
119759798,133,20933,104121,2022-12-02T17:45:03
119762662,133,20935,104123,2022-12-02T18:00:02
119765390,133,20935,104126,2022-12-02T18:15:02
119768139,135,20936,104105,2022-12-02T18:30:02
119762288,135,20936,104106,2022-12-02T18:45:03
119764971,135,20937,104108,2022-12-02T19:00:02
119767468,135,20939,104110,2022-12-02T19:15:03
119769836,135,20941,104115,2022-12-02T19:30:03
119772285,135,20942,104120,2022-12-02T19:45:03
119774682,135,20943,104123,2022-12-02T20:00:02
119776748,135,20946,104123,2022-12-02T20:15:03
119778809,135,20948,104112,2022-12-02T20:30:02
119778628,135,20949,104112,2022-12-02T20:45:02
119781176,135,20951,104117,2022-12-02T21:00:03
119785039,135,20951,104134,2022-12-02T21:15:03
119789602,135,20952,104147,2022-12-02T21:30:02
119795011,135,20953,104162,2022-12-02T21:45:02
119801666,135,20953,104184,2022-12-02T22:00:02
119813538,135,20953,104145,2022-12-02T22:15:02
119822604,135,20954,104167,2022-12-02T22:30:03
119825949,135,20954,104192,2022-12-02T22:45:03
119834721,135,20954,104217,2022-12-02T23:00:02
119847140,135,20954,104243,2022-12-02T23:15:03
119857237,135,20954,104269,2022-12-02T23:30:02
119866577,135,20955,104287,2022-12-02T23:45:02
119876305,135,20955,104318,2022-12-03T00:00:03
119884729,135,20956,104220,2022-12-03T00:15:02
119892926,135,20956,104236,2022-12-03T00:30:03
119898547,135,20957,104239,2022-12-03T00:45:03
119905229,135,20957,104249,2022-12-03T01:00:02
119911856,135,20957,104265,2022-12-03T01:15:03
119917733,135,20959,104277,2022-12-03T01:30:02
119923114,135,20960,104289,2022-12-03T01:45:03
119928663,135,20962,104295,2022-12-03T02:00:02
119934572,135,20961,104259,2022-12-03T02:15:02
119895063,136,20963,104274,2022-12-03T02:30:03
119900416,136,20964,104289,2022-12-03T02:45:02
119905549,136,20965,104293,2022-12-03T03:00:02
119910508,136,20967,104300,2022-12-03T03:15:02
119915353,136,20967,104307,2022-12-03T03:30:02
119919732,136,20967,104319,2022-12-03T03:45:03
119924092,136,20967,104325,2022-12-03T04:00:02
119782941,136,20967,104274,2022-12-03T04:15:03
119786901,136,20967,104282,2022-12-03T04:30:02
119790732,136,20967,104297,2022-12-03T04:45:03
119794547,136,20967,104308,2022-12-03T05:00:02
119798196,136,20967,104310,2022-12-03T05:15:03
119801638,136,20968,104316,2022-12-03T05:30:02
119804888,136,20970,104318,2022-12-03T05:45:02
119807825,136,20971,104321,2022-12-03T06:00:02
119775936,136,20971,104275,2022-12-03T06:15:03
119778980,136,20972,104286,2022-12-03T06:30:03
119782030,136,20972,104293,2022-12-03T06:45:02
119785006,136,20972,104303,2022-12-03T07:00:02
119787747,136,20972,104307,2022-12-03T07:15:02
119790502,136,20972,104314,2022-12-03T07:30:03
119793212,136,20972,104327,2022-12-03T07:45:03
119792915,136,20972,104334,2022-12-03T08:00:03
119795590,136,20972,104294,2022-12-03T08:15:03
119798217,136,20972,104303,2022-12-03T08:30:03
119800758,136,20974,104308,2022-12-03T08:45:03
119803437,136,20976,104314,2022-12-03T09:00:03
119806007,136,20975,104317,2022-12-03T09:15:02
119808606,136,20975,104320,2022-12-03T09:30:02
119811218,136,20975,104323,2022-12-03T09:45:02
119812173,136,20975,104301,2022-12-03T10:00:02
119814820,136,20975,104307,2022-12-03T10:15:02
119817368,136,20976,104314,2022-12-03T10:30:02
119820031,136,20978,104329,2022-12-03T10:45:02
119822634,136,20979,104334,2022-12-03T11:00:03
119825418,136,20979,104341,2022-12-03T11:15:02
119828191,136,20979,104346,2022-12-03T11:30:02
119831171,136,20979,104313,2022-12-03T11:45:02
119828653,136,20979,104321,2022-12-03T12:00:03
119831864,136,20979,104330,2022-12-03T12:15:02
119835380,136,20979,104336,2022-12-03T12:30:03
119838833,136,20979,104346,2022-12-03T12:45:02
119842459,136,20979,104353,2022-12-03T13:00:03
119846393,136,20979,104358,2022-12-03T13:15:03
119850185,136,20979,104364,2022-12-03T13:30:02
119849697,136,20979,104333,2022-12-03T13:45:02
119853882,136,20979,104341,2022-12-03T14:00:02
119858076,136,20979,104346,2022-12-03T14:15:03
119862252,136,20979,104352,2022-12-03T14:30:02
119866554,136,20979,104357,2022-12-03T14:45:02
119870892,136,20979,104369,2022-12-03T15:00:02
119874806,136,20979,104374,2022-12-03T15:15:02
119878978,136,20979,104380,2022-12-03T15:30:03
119866840,136,20979,104339,2022-12-03T15:45:02
119870898,136,20979,104348,2022-12-03T16:00:02
119875237,136,20979,104356,2022-12-03T16:15:02
119879070,136,20979,104363,2022-12-03T16:30:03
119883007,136,20979,104367,2022-12-03T16:45:03
119886959,136,20979,104372,2022-12-03T17:00:03
119886966,136,20979,104374,2022-12-03T17:15:03
119891008,136,20979,104379,2022-12-03T17:30:03
119895169,136,20979,104355,2022-12-03T17:45:02
119899059,136,20979,104358,2022-12-03T18:00:02
119903052,136,20979,104360,2022-12-03T18:15:02
119907108,136,20979,104367,2022-12-03T18:30:03
119910842,136,20980,104371,2022-12-03T18:45:02
119914635,136,20980,104381,2022-12-03T19:00:02
119916688,136,20981,104361,2022-12-03T19:15:02
119920265,136,20983,104372,2022-12-03T19:30:02
119923667,136,20986,104373,2022-12-03T19:45:03
119927181,136,20990,104374,2022-12-03T20:00:02
119930745,136,20990,104382,2022-12-03T20:15:03
119934172,136,20990,104386,2022-12-03T20:30:02
119937423,136,20990,104389,2022-12-03T20:45:02
119940443,136,20990,104393,2022-12-03T21:00:03
119943580,136,20990,104370,2022-12-03T21:15:03
119944506,136,20992,104374,2022-12-03T21:30:02
119947763,136,20993,104381,2022-12-03T21:45:02
119951330,136,20996,104382,2022-12-03T22:00:03
119955003,136,20996,104389,2022-12-03T22:15:02
119958858,136,20996,104395,2022-12-03T22:30:02
119962735,136,20996,104401,2022-12-03T22:45:03
119966157,136,20996,104409,2022-12-03T23:00:03
119967539,136,20996,104383,2022-12-03T23:15:03
119970997,136,20996,104382,2022-12-03T23:30:02
119974211,136,20996,104388,2022-12-03T23:45:02
119977516,136,20996,104399,2022-12-04T00:00:04
119980745,136,20996,104407,2022-12-04T00:15:03
119984030,136,20996,104415,2022-12-04T00:30:03
119987126,136,20997,104416,2022-12-04T00:45:03
119990036,136,20999,104395,2022-12-04T01:00:03
119984143,136,20999,104402,2022-12-04T01:15:03
119987162,136,20999,104405,2022-12-04T01:30:03
119990197,136,20999,104411,2022-12-04T01:45:03
119993283,136,20999,104413,2022-12-04T02:00:03
119996169,136,21000,104413,2022-12-04T02:15:02
119999009,136,21004,104424,2022-12-04T02:30:02
120002020,136,21004,104436,2022-12-04T02:45:02
120005172,136,21004,104409,2022-12-04T03:00:02
119934107,136,21004,104416,2022-12-04T03:15:02
119937124,136,21004,104422,2022-12-04T03:30:03
119940013,136,21004,104429,2022-12-04T03:45:03
119943008,136,21005,104433,2022-12-04T04:00:03
119945781,136,21006,104435,2022-12-04T04:15:03
119948520,136,21008,104441,2022-12-04T04:30:03
119950830,136,21009,104451,2022-12-04T04:45:03
119953273,136,21009,104421,2022-12-04T05:00:03
119819266,136,21012,104425,2022-12-04T05:15:02
119822624,136,21015,104424,2022-12-04T05:30:02
119826131,136,21017,104426,2022-12-04T05:45:02
119829543,136,21018,104439,2022-12-04T06:00:03
119832870,136,21019,104444,2022-12-04T06:15:02
119835716,136,21019,104447,2022-12-04T06:30:03
119838250,136,21020,104426,2022-12-04T06:45:03
119822045,136,21021,104428,2022-12-04T07:00:02
119824557,136,21021,104429,2022-12-04T07:15:03
119827094,136,21021,104432,2022-12-04T07:30:02
119829568,136,21021,104444,2022-12-04T07:45:03
119832055,136,21021,104447,2022-12-04T08:00:02
119834594,136,21021,104451,2022-12-04T08:15:03
119837114,136,21021,104454,2022-12-04T08:30:02
119838037,136,21022,104437,2022-12-04T08:45:03
119840382,136,21023,104445,2022-12-04T09:00:02
119842946,136,21023,104450,2022-12-04T09:15:03
119845590,136,21023,104454,2022-12-04T09:30:03
119848148,136,21023,104456,2022-12-04T09:45:03
119850683,136,21023,104461,2022-12-04T10:00:02
119853383,136,21024,104469,2022-12-04T10:15:03
119856256,136,21024,104474,2022-12-04T10:30:02
119854397,136,21024,104446,2022-12-04T10:45:02
119857257,136,21024,104451,2022-12-04T11:00:03
119860208,136,21024,104460,2022-12-04T11:15:02
119863231,136,21024,104469,2022-12-04T11:30:03
119866190,136,21024,104475,2022-12-04T11:45:02
119869244,136,21024,104480,2022-12-04T12:00:02
119872279,136,21024,104482,2022-12-04T12:15:03
119873150,136,21025,104482,2022-12-04T12:30:02
119876137,136,21026,104455,2022-12-04T12:45:02
119879208,136,21026,104461,2022-12-04T13:00:03
119882652,136,21027,104467,2022-12-04T13:15:02
119886022,136,21027,104472,2022-12-04T13:30:03
119889402,136,21027,104475,2022-12-04T13:45:03
119892753,136,21027,104475,2022-12-04T14:00:02
119896483,136,21027,104481,2022-12-04T14:15:02
119886707,136,21027,104484,2022-12-04T14:30:03
119890510,136,21027,104462,2022-12-04T14:45:02
119894351,136,21027,104469,2022-12-04T15:00:03
119897938,136,21027,104481,2022-12-04T15:15:02
119901620,136,21027,104486,2022-12-04T15:30:02
119905329,136,21027,104498,2022-12-04T15:45:02
119909078,136,21027,104500,2022-12-04T16:00:03
119912610,136,21027,104508,2022-12-04T16:15:02
119901246,136,21027,104510,2022-12-04T16:30:02
119904934,136,21027,104485,2022-12-04T16:45:03
119908410,136,21027,104489,2022-12-04T17:00:03
119911973,136,21027,104500,2022-12-04T17:15:03
119915551,136,21027,104503,2022-12-04T17:30:03
119918945,136,21027,104507,2022-12-04T17:45:02
119922320,136,21027,104514,2022-12-04T18:00:03
119925627,136,21027,104520,2022-12-04T18:15:02
119925221,136,21027,104522,2022-12-04T18:30:02
119928348,136,21027,104488,2022-12-04T18:45:02
119931527,136,21027,104496,2022-12-04T19:00:03
119934496,136,21027,104503,2022-12-04T19:15:02
119937568,136,21027,104508,2022-12-04T19:30:02
119940615,136,21027,104514,2022-12-04T19:45:03
119943593,136,21027,104520,2022-12-04T20:00:02
119944626,136,21027,104523,2022-12-04T20:15:02
119947513,136,21027,104527,2022-12-04T20:30:02
119950505,136,21027,104506,2022-12-04T20:45:02
119953373,136,21027,104509,2022-12-04T21:00:02
119956203,136,21028,104512,2022-12-04T21:15:02
119959026,136,21028,104512,2022-12-04T21:30:02
119961986,136,21028,104519,2022-12-04T21:45:03
119964818,136,21028,104521,2022-12-04T22:00:03
119965540,136,21028,104518,2022-12-04T22:15:03
119968696,136,21028,104520,2022-12-04T22:30:02
119972132,136,21028,104513,2022-12-04T22:45:03
119975583,136,21028,104513,2022-12-04T23:00:02
119978949,136,21028,104518,2022-12-04T23:15:03
119982091,136,21028,104522,2022-12-04T23:30:03
119985242,136,21028,104525,2022-12-04T23:45:02
119985700,136,21028,104530,2022-12-05T00:00:03
119988936,136,21028,104519,2022-12-05T00:15:02
119992133,136,21028,104524,2022-12-05T00:30:03
119994941,136,21028,104531,2022-12-05T00:45:02
119997547,136,21028,104535,2022-12-05T01:00:02
120000156,136,21028,104537,2022-12-05T01:15:02
120002769,136,21028,104543,2022-12-05T01:30:03
120005316,136,21028,104547,2022-12-05T01:45:03
119976834,136,21028,104547,2022-12-05T02:00:02
119979732,136,21028,104525,2022-12-05T02:15:03
119982340,136,21031,104528,2022-12-05T02:30:03
119985041,136,21032,104530,2022-12-05T02:45:03
119987657,136,21032,104532,2022-12-05T03:00:03
119990369,136,21033,104536,2022-12-05T03:15:03
119993219,136,21034,104542,2022-12-05T03:30:03
119995809,136,21034,104543,2022-12-05T03:45:02
119907497,136,21034,104549,2022-12-05T04:00:03
119910081,136,21034,104527,2022-12-05T04:15:02
119912736,136,21034,104530,2022-12-05T04:30:03
119915175,136,21035,104532,2022-12-05T04:45:02
119917730,136,21038,104535,2022-12-05T05:00:02
119920078,136,21038,104537,2022-12-05T05:15:02
119922523,136,21038,104541,2022-12-05T05:30:02
119924971,137,21040,104545,2022-12-05T05:45:03
119832104,137,21041,104531,2022-12-05T06:00:03
119834448,137,21041,104533,2022-12-05T06:15:02
119836631,137,21041,104537,2022-12-05T06:30:02
119838853,137,21041,104540,2022-12-05T06:45:02
119841113,137,21041,104546,2022-12-05T07:00:03
119843338,137,21041,104548,2022-12-05T07:15:02
119845620,137,21041,104550,2022-12-05T07:30:03
119847874,137,21043,104562,2022-12-05T07:45:03
119846160,137,21045,104559,2022-12-05T08:00:02
119848681,137,21045,104564,2022-12-05T08:15:03
119851003,137,21045,104564,2022-12-05T08:30:03
119853496,137,21045,104567,2022-12-05T08:45:02
119856011,137,21045,104569,2022-12-05T09:00:02
119858211,137,21045,104571,2022-12-05T09:15:02
119860258,137,21045,104574,2022-12-05T09:30:02
119861037,137,21045,104563,2022-12-05T09:45:02
119863260,137,21045,104566,2022-12-05T10:00:02
119865390,137,21045,104568,2022-12-05T10:15:03
119867470,137,21045,104568,2022-12-05T10:30:03
119869667,137,21045,104568,2022-12-05T10:45:02
119871866,137,21045,104570,2022-12-05T11:00:02
119874065,137,21045,104572,2022-12-05T11:15:03
119876286,137,21045,104574,2022-12-05T11:30:03
119878708,137,21045,104572,2022-12-05T11:45:03
119876429,137,21045,104578,2022-12-05T12:00:03
119879107,137,21045,104579,2022-12-05T12:15:03
119881600,137,21045,104581,2022-12-05T12:30:03
119884155,137,21045,104587,2022-12-05T12:45:02
119886859,137,21045,104589,2022-12-05T13:00:03
119889687,137,21045,104575,2022-12-05T13:15:03
119890184,137,21045,104581,2022-12-05T13:30:02
119893001,137,21045,104583,2022-12-05T13:45:02
119896067,137,21045,104587,2022-12-05T14:00:03
119899166,137,21045,104591,2022-12-05T14:15:02
119902177,137,21045,104593,2022-12-05T14:30:03
119905178,137,21045,104596,2022-12-05T14:45:02
119908351,137,21045,104581,2022-12-05T15:00:03
119911581,137,21045,104587,2022-12-05T15:15:03
119900046,137,21045,104589,2022-12-05T15:30:03
119903106,137,21045,104593,2022-12-05T15:45:03
119908808,137,21045,104597,2022-12-05T16:00:03
119915288,137,21045,104603,2022-12-05T16:15:03
119918975,137,21045,104607,2022-12-05T16:30:02
119922200,137,21045,104588,2022-12-05T16:45:03
119925031,137,21045,104590,2022-12-05T17:00:02
119928103,137,21047,104593,2022-12-05T17:15:03
119930712,137,21047,104597,2022-12-05T17:30:03
119935876,137,21047,104601,2022-12-05T17:45:03
119939383,137,21047,104604,2022-12-05T18:00:02
119942487,137,21047,104609,2022-12-05T18:15:02
119945461,137,21047,104591,2022-12-05T18:30:03
119951041,137,21048,104591,2022-12-05T18:45:02
119955806,137,21051,104597,2022-12-05T19:00:02
119959755,137,21051,104600,2022-12-05T19:15:02
119962796,137,21051,104599,2022-12-05T19:30:03
119965497,137,21051,104602,2022-12-05T19:45:03
119968480,137,21051,104606,2022-12-05T20:00:02
119973663,137,21051,104604,2022-12-05T20:15:03
119977941,137,21051,104609,2022-12-05T20:30:03
119982773,137,21051,104615,2022-12-05T20:45:02
119985688,137,21051,104619,2022-12-05T21:00:03
119988578,137,21051,104621,2022-12-05T21:15:03
119988817,137,21052,104626,2022-12-05T21:30:03
119991736,137,21052,104629,2022-12-05T21:45:02
119995032,137,21052,104614,2022-12-05T22:00:03
119998080,137,21052,104617,2022-12-05T22:15:02
120000781,137,21052,104618,2022-12-05T22:30:02
120004234,137,21052,104622,2022-12-05T22:45:02
120007406,137,21052,104625,2022-12-05T23:00:02
120010273,137,21052,104632,2022-12-05T23:15:02
120010588,137,21052,104634,2022-12-05T23:30:03
120013664,137,21052,104636,2022-12-05T23:45:03
120016498,137,21052,104614,2022-12-06T00:00:03
120020181,137,21052,104618,2022-12-06T00:15:02
120023441,137,21052,104623,2022-12-06T00:30:03
120027459,137,21052,104628,2022-12-06T00:45:02
120031200,137,21052,104629,2022-12-06T01:00:02
120035523,137,21052,104634,2022-12-06T01:15:02
120032361,137,21052,104638,2022-12-06T01:30:02
120036048,137,21052,104642,2022-12-06T01:45:02
120039667,137,21052,104623,2022-12-06T02:00:02
120043138,137,21052,104627,2022-12-06T02:15:02
120046545,137,21052,104634,2022-12-06T02:30:02
120050040,137,21052,104637,2022-12-06T02:45:03
120055161,137,21052,104641,2022-12-06T03:00:02
120014449,137,21052,104643,2022-12-06T03:15:02
120019149,137,21052,104646,2022-12-06T03:30:02
120022462,137,21052,104648,2022-12-06T03:45:02
120026928,137,21052,104632,2022-12-06T04:00:02
120030061,137,21052,104638,2022-12-06T04:15:03
120033772,137,21052,104642,2022-12-06T04:30:03
120037854,137,21052,104645,2022-12-06T04:45:03
120040501,137,21052,104650,2022-12-06T05:00:02
119960278,137,21052,104651,2022-12-06T05:15:02
119962588,137,21052,104657,2022-12-06T05:30:03
119964833,137,21052,104658,2022-12-06T05:45:03
119967172,137,21052,104641,2022-12-06T06:00:03
119969280,137,21052,104645,2022-12-06T06:15:03
119971537,137,21052,104650,2022-12-06T06:30:02
119973662,137,21052,104651,2022-12-06T06:45:02
119975893,137,21052,104660,2022-12-06T07:00:03
119954739,137,21052,104661,2022-12-06T07:15:03
119956964,137,21052,104662,2022-12-06T07:30:02
119959212,137,21052,104666,2022-12-06T07:45:03
119961534,137,21052,104654,2022-12-06T08:00:03
119963643,137,21052,104657,2022-12-06T08:15:02
119965895,137,21052,104658,2022-12-06T08:30:03
119967989,137,21052,104662,2022-12-06T08:45:03
119970283,137,21052,104666,2022-12-06T09:00:03
119971282,137,21053,104669,2022-12-06T09:15:03
119973544,137,21054,104672,2022-12-06T09:30:03
119975705,137,21054,104671,2022-12-06T09:45:03
119977969,137,21054,104656,2022-12-06T10:00:02
119980093,137,21054,104657,2022-12-06T10:15:02
119982326,137,21054,104659,2022-12-06T10:30:02
119984456,137,21054,104660,2022-12-06T10:45:02
119986759,137,21055,104660,2022-12-06T11:00:03
119980564,137,21055,104664,2022-12-06T11:15:02
119982692,137,21055,104666,2022-12-06T11:30:03
119984806,137,21055,104669,2022-12-06T11:45:02
119992489,137,21055,104665,2022-12-06T12:00:03
120016852,137,21055,104668,2022-12-06T12:15:02
120027558,137,21055,104672,2022-12-06T12:30:02
120030314,137,21055,104673,2022-12-06T12:45:02
120030814,137,21055,104679,2022-12-06T13:00:02
120033721,137,21055,104681,2022-12-06T13:15:02
120036611,137,21055,104683,2022-12-06T13:30:02
120039487,137,21055,104684,2022-12-06T13:45:02
120042583,137,21055,104668,2022-12-06T14:00:03
120045542,137,21055,104671,2022-12-06T14:15:02
120048732,137,21055,104677,2022-12-06T14:30:02
120051861,137,21055,104676,2022-12-06T14:45:02
120055458,137,21055,104682,2022-12-06T15:00:03
120060968,137,21055,104686,2022-12-06T15:15:02
120064693,137,21055,104691,2022-12-06T15:30:02
120068213,137,21055,104679,2022-12-06T15:45:02
120071361,137,21055,104686,2022-12-06T16:00:03
120074380,137,21055,104696,2022-12-06T16:15:02
120077354,137,21055,104698,2022-12-06T16:30:02
120080211,137,21055,104701,2022-12-06T16:45:02
120080260,137,21055,104703,2022-12-06T17:00:03
120082999,137,21055,104705,2022-12-06T17:15:02
120085805,137,21055,104691,2022-12-06T17:30:02
120088558,137,21055,104692,2022-12-06T17:45:02
120091224,137,21055,104694,2022-12-06T18:00:03
120094038,137,21055,104698,2022-12-06T18:15:02
120096870,137,21055,104704,2022-12-06T18:30:02
120099684,137,21055,104708,2022-12-06T18:45:02
120089719,137,21056,104699,2022-12-06T19:00:02
120096096,137,21056,104702,2022-12-06T19:15:02
120106209,137,21056,104704,2022-12-06T19:30:02
120110853,137,21056,104707,2022-12-06T19:45:02
120113355,137,21056,104705,2022-12-06T20:00:02
120115855,137,21056,104706,2022-12-06T20:15:02
120117971,137,21056,104708,2022-12-06T20:30:02
120123852,137,21056,104711,2022-12-06T20:45:02
120127876,137,21056,104698,2022-12-06T21:00:03
120130343,138,21057,104701,2022-12-06T21:15:02
120132797,138,21058,104708,2022-12-06T21:30:02
120135225,138,21058,104709,2022-12-06T21:45:02
120137904,138,21058,104718,2022-12-06T22:00:03
120140420,138,21058,104723,2022-12-06T22:15:02
120144284,138,21058,104729,2022-12-06T22:30:02
120144039,138,21058,104732,2022-12-06T22:45:02
120148178,138,21058,104708,2022-12-06T23:00:02
120150614,138,21058,104707,2022-12-06T23:15:02
120152945,138,21058,104713,2022-12-06T23:30:03
120155208,138,21060,104721,2022-12-06T23:45:02
120158229,138,21060,104723,2022-12-07T00:00:03
120163252,138,21060,104727,2022-12-07T00:15:02
120166201,138,21060,104736,2022-12-07T00:30:02
120163734,138,21060,104744,2022-12-07T00:45:02
120166910,138,21062,104723,2022-12-07T01:00:03
120169583,138,21062,104726,2022-12-07T01:15:02
120171696,138,21062,104729,2022-12-07T01:30:03
120173959,138,21060,104730,2022-12-07T01:45:02
120176350,138,21060,104733,2022-12-07T02:00:02
120178582,138,21060,104739,2022-12-07T02:15:02
120180848,139,21060,104741,2022-12-07T02:30:02
120173760,139,21061,104746,2022-12-07T02:45:02
120176638,139,21062,104734,2022-12-07T03:00:03
120181084,139,21062,104745,2022-12-07T03:15:02
120186123,139,21062,104746,2022-12-07T03:30:03
120191866,139,21062,104746,2022-12-07T03:45:02
120196742,139,21062,104749,2022-12-07T04:00:02
120199060,139,21062,104753,2022-12-07T04:15:02
120201209,139,21062,104757,2022-12-07T04:30:03
120159199,139,21062,104760,2022-12-07T04:45:02
120161819,139,21063,104740,2022-12-07T05:00:02
120167502,139,21063,104743,2022-12-07T05:15:02
120173338,139,21063,104745,2022-12-07T05:30:03
120176511,139,21063,104745,2022-12-07T05:45:02
120178555,139,21063,104744,2022-12-07T06:00:02
120180531,139,21063,104748,2022-12-07T06:15:02
120182555,139,21063,104748,2022-12-07T06:30:03
120158750,139,21063,104752,2022-12-07T06:45:02
120163975,139,21063,104745,2022-12-07T07:00:02
120169076,139,21063,104747,2022-12-07T07:15:02
120172341,139,21063,104752,2022-12-07T07:30:03
120176166,139,21063,104752,2022-12-07T07:45:02
120179842,139,21063,104753,2022-12-07T08:00:02
120182820,139,21063,104754,2022-12-07T08:15:02
120184789,139,21063,104758,2022-12-07T08:30:03
120184855,139,21063,104760,2022-12-07T08:45:02
120187010,139,21063,104754,2022-12-07T09:00:02
120189031,139,21063,104757,2022-12-07T09:15:02
120190955,139,21063,104756,2022-12-07T09:30:03
120192977,139,21063,104759,2022-12-07T09:45:02
120195008,139,21063,104759,2022-12-07T10:00:03
120188373,139,21063,104763,2022-12-07T10:15:02
120190468,139,21063,104765,2022-12-07T10:30:02
120192415,139,21064,104769,2022-12-07T10:45:02
120194575,139,21064,104755,2022-12-07T11:00:02
120196754,139,21064,104757,2022-12-07T11:15:02
120198742,139,21064,104761,2022-12-07T11:30:03
120200903,139,21064,104765,2022-12-07T11:45:02
120203127,139,21064,104766,2022-12-07T12:00:02
120206627,139,21064,104770,2022-12-07T12:15:02
120215491,139,21064,104775,2022-12-07T12:30:02
120221947,139,21064,104781,2022-12-07T12:45:02
120225585,139,21064,104773,2022-12-07T13:00:02
120229335,139,21064,104776,2022-12-07T13:15:02
120231982,139,21064,104778,2022-12-07T13:30:02
120234490,139,21064,104779,2022-12-07T13:45:02
120236980,139,21064,104782,2022-12-07T14:00:02
120237901,139,21064,104786,2022-12-07T14:15:02
120240468,139,21064,104788,2022-12-07T14:30:02
120242986,139,21064,104790,2022-12-07T14:45:02
120245599,139,21064,104789,2022-12-07T15:00:02
120251041,139,21064,104799,2022-12-07T15:15:02
120258356,139,21064,104801,2022-12-07T15:30:02
120264481,139,21064,104801,2022-12-07T15:45:02
120267260,139,21064,104803,2022-12-07T16:00:02
120262183,139,21064,104808,2022-12-07T16:15:02
120265025,139,21064,104812,2022-12-07T16:30:02
120268029,139,21064,104793,2022-12-07T16:45:02
120273759,139,21064,104796,2022-12-07T17:00:02
120279426,139,21064,104798,2022-12-07T17:15:02
120283093,139,21064,104804,2022-12-07T17:30:02
120285791,139,21064,104809,2022-12-07T17:45:02
120288910,139,21064,104814,2022-12-07T18:00:02
120291723,139,21064,104816,2022-12-07T18:15:02
120296958,139,21064,104795,2022-12-07T18:30:02
120299826,139,21064,104798,2022-12-07T18:45:02
120302454,139,21064,104799,2022-12-07T19:00:02
120305049,139,21064,104802,2022-12-07T19:15:02
120307412,139,21064,104805,2022-12-07T19:30:02
120309757,139,21064,104809,2022-12-07T19:45:02
120312294,139,21064,104812,2022-12-07T20:00:02
120311982,139,21065,104817,2022-12-07T20:15:02
120314499,139,21065,104797,2022-12-07T20:30:02
120316829,140,21068,104801,2022-12-07T20:45:02
120318998,140,21068,104804,2022-12-07T21:00:02
120321198,140,21068,104804,2022-12-07T21:15:02
120323566,140,21068,104808,2022-12-07T21:30:02
120325726,140,21068,104814,2022-12-07T21:45:02
120327949,140,21068,104818,2022-12-07T22:00:02
120336818,140,21068,104800,2022-12-07T22:15:02
120346306,140,21069,104813,2022-12-07T22:30:02
120353847,140,21069,104815,2022-12-07T22:45:02
120359701,140,21069,104819,2022-12-07T23:00:02
120363466,140,21069,104819,2022-12-07T23:15:02
